t,attack_active,innovation_norm,nis,anis,nis_alarm,anis_alarm,p_trace,invert_ok,filt_x,filt_y,filt_z,true_x,true_y,true_z,spoof_error,lambda_k
133,0,11.554374,4.656479,2.913849,0,0,8.730680,1,4180387.0880,851771.2775,4726085.2438,4180387.5083,851770.8202,4726088.3344,12.2430,1.000000
134,0,11.394749,3.811834,2.996844,0,0,8.623558,1,4180386.9158,851771.1582,4726085.5046,4180386.7781,851770.6714,4726089.0026,13.0896,1.000000
135,0,19.774052,8.556338,3.599839,0,0,8.518893,1,4180386.6872,851770.4553,4726086.9433,4180386.0480,851770.5226,4726089.6707,17.0525,1.000000
136,0,18.384762,8.265914,4.239005,0,0,8.416628,1,4180386.7416,851770.3217,4726088.2690,4180385.3179,851770.3739,4726090.3389,17.1396,1.000000
137,0,15.628169,8.392542,4.582482,0,1,8.316709,1,4180386.1584,851769.3622,4726089.2108,4180384.5877,851770.2251,4726091.0070,15.3188,1.000000
138,0,17.330183,7.374063,5.011319,0,1,26.187346,1,4180384.6634,851766.8984,4726091.6855,4180383.8576,851770.0763,4726091.6751,16.6384,3.648113
139,0,7.637028,1.461218,5.058401,0,1,27.845517,1,4180383.2455,851767.6123,4726093.1995,4180383.1275,851769.9276,4726092.3433,5.6282,1.249271
140,0,11.515470,3.553585,5.347761,0,1,33.966604,1,4180381.7832,851765.2379,4726092.6520,4180382.3973,851769.7788,4726093.0114,13.1560,1.509270
141,0,8.820543,0.935183,5.421321,0,1,37.435236,1,4180380.2003,851764.6572,4726091.3407,4180381.6672,851769.6300,4726093.6796,11.0467,1.406004
142,0,13.205952,5.372420,5.237957,0,1,36.402075,1,4180379.7679,851767.5335,4726092.7373,4180380.9370,851769.4813,4726094.3477,7.7306,1.229429
143,0,9.826476,2.215460,4.993856,0,1,34.243001,1,4180379.5445,851769.0372,4726094.8023,4180380.2069,851769.3325,4726095.0158,7.0905,1.167162
144,0,12.470125,1.494313,4.762103,0,1,35.758681,1,4180378.6777,851768.1618,4726092.6364,4180379.4768,851769.1837,4726095.6840,12.7657,1.312549
145,0,16.150861,2.926017,4.199071,0,0,29.913818,1,4180379.0264,851768.1165,4726096.2871,4180378.7466,851769.0349,4726096.3521,12.9817,1.000000
146,0,6.299025,0.943844,3.466864,0,0,25.878373,1,4180377.5475,851767.5951,4726097.6734,4180378.0165,851768.8862,4726097.0202,6.4633,1.000000
147,0,10.471526,2.575000,2.885110,0,0,22.933885,1,4180378.0259,851767.4884,4726097.3443,4180377.2864,851768.7374,4726097.6884,9.6993,1.000000
148,0,13.310987,2.462105,2.393914,0,0,20.698558,1,4180377.5697,851766.5575,4726099.6745,4180376.5562,851768.5886,4726098.3565,13.7311,1.000000
149,0,9.573312,3.233301,2.571123,0,0,18.950545,1,4180375.9089,851765.6364,4726100.3022,4180375.8261,851768.4399,4726099.0247,10.2498,1.000000
150,1,12.005254,3.961622,2.611926,0,0,17.551978,1,4180374.8321,851766.5771,4726101.8032,4180375.0960,851768.2911,4726099.6928,10.8224,1.000000
151,1,9.524371,3.027270,2.821135,0,0,16.412543,1,4180374.3786,851765.4564,4726102.2238,4180374.3658,851768.1423,4726100.3609,10.6801,1.000000
152,1,18.289818,5.013699,2.785263,0,0,15.470513,1,4180373.1867,851764.5094,4726104.6113,4180373.6357,851767.9936,4726101.0291,21.1584,1.000000
153,1,16.057835,4.761608,3.039878,0,0,14.682192,1,4180371.5247,851764.1519,4726104.1272,4180372.9055,851767.8448,4726101.6972,14.4158,1.000000
154,1,5.099887,0.891593,2.979606,0,0,14.015723,1,4180370.5664,851764.3714,4726105.0021,4180372.1754,851767.6960,4726102.3653,5.3098,1.000000
155,1,8.089803,2.044616,2.891466,0,0,13.447290,1,4180369.3484,851764.6667,4726106.0589,4180371.4453,851767.5473,4726103.0335,9.3090,1.000000
156,1,14.247663,5.430321,3.340113,0,0,12.958696,1,4180368.8878,851765.4427,4726106.0734,4180370.7151,851767.3985,4726103.7016,9.7054,1.000000
157,1,14.338761,1.906751,3.273289,0,0,12.535782,1,4180368.1111,851765.2485,4726105.6246,4180369.9850,851767.2497,4726104.3698,12.2993,1.000000
158,1,8.624402,2.253925,3.252471,0,0,12.167343,1,4180367.4495,851765.7112,4726106.6629,4180369.2549,851767.1010,4726105.0379,7.7282,1.000000
159,1,11.993389,1.521340,3.081274,0,0,11.844392,1,4180366.8186,851765.7311,4726108.2805,4180368.5247,851766.9522,4726105.7060,13.3885,1.000000
